employeeid,employeename,technologies_covered,project_id
309,"Aarush Mandal","AWS, Azure",13
309,"Aarush Mandal","AWS, Azure",693
983,"Badal Khanna","Power BI, Azure",589
880,"Baiju Sastry","Azure, Cisco Routers",203
576,"Bhavin Hari","AWS, Power BI",752
794,"Charvi Mander","CCNA, Azure",48
794,"Charvi Mander","Power BI, AWS",48
794,"Charvi Mander","Cisco Routers, Azure",48
794,"Charvi Mander","CCNA, Azure",902
794,"Charvi Mander","Power BI, AWS",902
794,"Charvi Mander","Cisco Routers, Azure",902
143,"Dharmajan Lal","Cisco Routers, Power BI",305
747,"Ela Thakkar","Power BI, CCNA",152
578,"Eva Sarraf","Power BI, Cisco Routers",664
111,"Hiran Sidhu","Cisco Routers, Azure",277
111,"Hiran Sidhu","Cisco Routers, AWS",277
111,"Hiran Sidhu","Power BI, CCNA",277
111,"Hiran Sidhu","CCNA, Cisco Routers",277
111,"Hiran Sidhu","CCNA, Cisco Routers",679
111,"Hiran Sidhu","Cisco Routers, Azure",679
111,"Hiran Sidhu","Power BI, CCNA",679
111,"Hiran Sidhu","Cisco Routers, AWS",679
111,"Hiran Sidhu","Cisco Routers, AWS",701
111,"Hiran Sidhu","Power BI, CCNA",701
111,"Hiran Sidhu","CCNA, Cisco Routers",701
111,"Hiran Sidhu","Cisco Routers, Azure",701
903,"Hridaan Divan","AWS, CCNA",198
155,"Hrishita Kant","Cisco Routers, Azure",571
938,"Indrajit Chander","Cisco Routers, CCNA",88
938,"Indrajit Chander","Cisco Routers, CCNA",552
831,"Indrans Reddy","Cisco Routers, CCNA",433
897,"Ishita Edwin","AWS, Cisco Routers",827
241,"Jayan Ramachandran","Cisco Routers, Power BI",356
596,"Keya Wali","Azure, Cisco Routers",595
872,"Kismat Goswami","Cisco Routers, Power BI",880
520,"Krish Varughese","AWS, Azure",923
879,"Mohanlal Borah","Cisco Routers, Azure",175
181,"Nakul Batra","Azure, Cisco Routers",385
145,"Nakul Bhatti","Cisco Routers, AWS",519
575,"Neysa Sahota","Azure, AWS",744
786,"Nishith Sastry","Azure, CCNA",298
717,"Oorja Mahajan","Cisco Routers, Azure",174
717,"Oorja Mahajan","CCNA, AWS",174
717,"Oorja Mahajan","CCNA, Cisco Routers",174
717,"Oorja Mahajan","Azure, AWS",174
717,"Oorja Mahajan","CCNA, Cisco Routers",600
717,"Oorja Mahajan","CCNA, AWS",600
717,"Oorja Mahajan","Cisco Routers, Azure",600
717,"Oorja Mahajan","Azure, AWS",600
717,"Oorja Mahajan","Cisco Routers, Azure",603
717,"Oorja Mahajan","CCNA, Cisco Routers",603
717,"Oorja Mahajan","CCNA, AWS",603
717,"Oorja Mahajan","Azure, AWS",603
717,"Oorja Mahajan","CCNA, Cisco Routers",720
717,"Oorja Mahajan","Azure, AWS",720
717,"Oorja Mahajan","Cisco Routers, Azure",720
717,"Oorja Mahajan","CCNA, AWS",720
429,"Piya Deo","AWS, CCNA",59
768,"Prerak Kannan","Cisco Routers, CCNA",272
942,"Rasha Boase","Cisco Routers, Azure",850
826,"Rasha Sama","CCNA, Power BI",656
635,"Raunak Sarin","Power BI, Azure",238
635,"Raunak Sarin","Power BI, Azure",808
457,"Rhea Kothari","AWS, CCNA",624
624,"Riaan Kunda","Power BI, Azure",123
624,"Riaan Kunda","AWS, Azure",123
624,"Riaan Kunda","Power BI, Cisco Routers",123
624,"Riaan Kunda","Power BI, Cisco Routers",572
624,"Riaan Kunda","Power BI, Azure",572
624,"Riaan Kunda","AWS, Azure",572
624,"Riaan Kunda","Power BI, Azure",640
624,"Riaan Kunda","Power BI, Cisco Routers",640
624,"Riaan Kunda","AWS, Azure",640
624,"Riaan Kunda","Power BI, Azure",889
624,"Riaan Kunda","AWS, Azure",889
624,"Riaan Kunda","Power BI, Cisco Routers",889
430,"Ryan Gill","Power BI, AWS",449
